image_path,prompt
diffusiondb-1k/image_0.png,"a renaissance portrait of dwayne johnson, art in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, "
diffusiondb-1k/image_1.png,"portrait of a dancing eagle woman, beautiful blonde haired lakota sioux goddess, intricate, highly detailed art by james jean, ray tracing, digital painting, artstation, concept art, smooth, sharp focus, illustration, artgerm and greg rutkowski and alphonse mucha, vladimir kush, giger, 8 k "
diffusiondb-1k/image_2.png,"epic 3 d, become legend shiji! gpu mecha controlled by telepathic hackers, made of liquid, bubbles, crystals, and mangroves, houdini sidefx, perfect render, artstation trending, by jeremy mann, tsutomi nihei and ilya kuvshinov "
diffusiondb-1k/image_3.png,"an airbrush painting of cyber war machine scene in area 5 1 by destiny womack, gregoire boonzaier, harrison fisher, richard dadd "
diffusiondb-1k/image_4.png,concept art of a silent hill monster. painted by edward hopper. 
diffusiondb-1k/image_5.png,"a renaissance portrait of dwayne johnson, art in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, "
diffusiondb-1k/image_6.png,"portrait of a dancing eagle woman, beautiful blonde haired lakota sioux goddess, intricate, highly detailed art by james jean, ray tracing, digital painting, artstation, concept art, smooth, sharp focus, illustration, artgerm and greg rutkowski and alphonse mucha, vladimir kush, giger, roger dean, 8 k "
diffusiondb-1k/image_7.png,a cigarette with purple tobacco 
diffusiondb-1k/image_8.png,photo of very unappetizing food 
diffusiondb-1k/image_9.png,"a renaissance portrait of will ferrell, art in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, "
diffusiondb-1k/image_10.png,"portrait of a dancing eagle woman, beautiful blonde haired lakota sioux goddess, intricate, highly detailed art by james jean, ray tracing, digital painting, artstation, concept art, smooth, sharp focus, illustration, artgerm and greg rutkowski and alphonse mucha, vladimir kush, giger, roger dean, 8 k "
diffusiondb-1k/image_11.png,"epic 3 d, matsuragi piloting eva! gpu controlled by plant consciousness, made of liquid, bubbles, crystals, and mangroves, houdini sidefx, perfect render, artstation trending, by jeremy mann, tsutomi nihei and ilya kuvshinov "
diffusiondb-1k/image_12.png,"conor mcgregor as a muppet, movie still, 4 k "
diffusiondb-1k/image_13.png,"portrait of a dancing eagle woman, beautiful blonde haired lakota sioux goddess, intricate, highly detailed art by james jean, ray tracing, digital painting, artstation, concept art, smooth, sharp focus, illustration, artgerm and greg rutkowski and alphonse mucha, vladimir kush, giger, roger dean, 8 k "
diffusiondb-1k/image_14.png,"a renaissance portrait of john c. reilly, art in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, "
diffusiondb-1k/image_15.png,"a stunning portrait of an asian valkyrie with long black hair by artgerm, dynamic lighting, ray tracing, tom bagshaw, alphonse mucha, donata giancola, mary jane ansell, ankh necklace, atmosphere, realism, octane render, dof, hyperdetailed, 8 k "
diffusiondb-1k/image_16.png,"portrait of a dancing eagle woman, beautiful blonde haired lakota sioux goddess, intricate, highly detailed art by james jean, ray tracing, digital painting, artstation, concept art, smooth, sharp focus, illustration, artgerm and greg rutkowski and alphonse mucha, vladimir kush, giger, roger dean, casey weldon, 8 k "
diffusiondb-1k/image_17.png,"a renaissance portrait of dave chappelle, art in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, "
diffusiondb-1k/image_18.png,"a stunning portrait of an asian valkyrie with long black hair by artgerm, dynamic lighting, ray tracing, tom bagshaw, alphonse mucha, donata giancola, mary jane ansell, ankh necklace, atmosphere, realism, octane render, dof, hyperdetailed, 8 k "
diffusiondb-1k/image_19.png,this is a test only a test 
diffusiondb-1k/image_20.png,"a renaissance portrait of chris rock, art in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, "
diffusiondb-1k/image_21.png,"a beautiful painting of pyramids on the moon by nekro and pascal blanche and syd mead and greg rutkowski and sachin teng and victo ngai and simon stalenhag and chris voy and tsutomu nihei. in style of cg art. ray tracing, cel shading, 3 d. ue 5. hyper detailed. realistic. maya. octane render. "
diffusiondb-1k/image_22.png,"a stunning portrait of an asian valkyrie with long black hair by artgerm, dynamic lighting, gold, pink and blue color scheme, ray tracing, tom bagshaw, alphonse mucha, donata giancola, mary jane ansell, ankh necklace, atmosphere, realism, octane render, dof, hyperdetailed, 8 k "
diffusiondb-1k/image_23.png,"a renaissance portrait of dwayne johnson and mr. bean, art in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, "
diffusiondb-1k/image_24.png,"flat earth conspiracy by katsuhiro otomo, tex avery, otto dix, jan svankmejer, highly detailed, hyperrealistic, claymation "
diffusiondb-1k/image_25.png,"a beautiful painting of a pyramid on the moon by nekro and pascal blanche and syd mead and greg rutkowski and sachin teng and victo ngai and simon stalenhag and chris voy and tsutomu nihei. in style of cg art. ray tracing, cel shading, 3 d. ue 5. hyper detailed. realistic. maya. octane render. "
diffusiondb-1k/image_26.png,"a renaissance portrait of dwayne johnson and mr. bean, art in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, "
diffusiondb-1k/image_27.png,"an emo portrait. short dark brown messy pixie haircut, large black eyes, antichrist eyes, slightly rounded face, pointed chin, thin lips, small nose, black tank top, black leather jacket, black knee - length skirt, black choker. by beeple, ross tran, and sagi haviv, digital art illustration. trending on artstation "
diffusiondb-1k/image_28.png,"concept art of translucent glowing curvy buxom brown fairy dancing, renaissance, flowy, melting, round moons, rich clouds, very detailed, volumetric light, mist, fine art, textured oil over canvas, epic fantasy art, very colorful, ornate intricate scales, walls and floor of cave made of skulls, fractal gems, 8 k, hyper realistic "
diffusiondb-1k/image_29.png,"an airbrush painting of a january 6 insurrection by destiny womack, gregoire boonzaier, harrison fisher, richard dadd "
diffusiondb-1k/image_30.png,"rooster chicken, normal chicken, rooster chicken, bright art masterpiece artstation. 8 k, sharp high quality artwork in style of jose daniel cabrera pena and greg rutkowski, concept art by tooth wu, blizzard warcraft artwork, hearthstone card game artwork "
diffusiondb-1k/image_31.png,"a renaissance portrait of dwayne johnson and mr. bean, rowan atkinson, art in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, "
diffusiondb-1k/image_32.png,"a renaissance portrait of dwayne johnson hugging mr. bean, rowan atkinson, art in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, "
diffusiondb-1k/image_33.png,🤳🦊 ♂ * nuzzles * 🖼 * blushez * 🎨 uwu owo 😼 [ powerful furr lore | incantus ] 
diffusiondb-1k/image_34.png,"an emo portrait painting. short dark brown messy pixie haircut, large black eyes, antichrist eyes, slightly rounded face, pointed chin, thin lips, small nose, black tank top, black leather jacket, black knee - length skirt, black choker. unreal engine. trending on artstation, octane. rendered on unreal engine. 4 k "
diffusiondb-1k/image_35.png,🤳🦊 ♂ * nuzzles * 🖼 * blushez * 🎨 uwu owo 😼 [ powerful furr lore | incantus erminae ] 
diffusiondb-1k/image_36.png,"textless, deep purple and gold bird logo, velvet, white and amethyst and gold colour scheme "
diffusiondb-1k/image_37.png,"a renaissance portrait of will ferrell hugging john c. reilly, art in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, "
diffusiondb-1k/image_38.png,"a stunning portrait of an asian valkyrie with long black hair laying in grass by artgerm, dynamic lighting, ray tracing, tom bagshaw, alphonse mucha, donata giancola, mary jane ansell, ankh necklace, atmosphere, realism, octane render, dof, hyperdetailed, 8 k "
diffusiondb-1k/image_39.png,"landscape of the city of armenia quindio, flcl style, minimalist, japanese art, emo goth phone wallpaper "
diffusiondb-1k/image_40.png,bill and teds excellent adventure in a museum 
diffusiondb-1k/image_41.png,"a renaissance portrait of will ferrell hugging john c. reilly, art in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, "
diffusiondb-1k/image_42.png,🤳🦊 ♂ * nuzzles * 🖼 * blushez * 🎨 uwu owo 😼 [ powerful furr lore | incantus erminae | chi tong ] 
diffusiondb-1k/image_43.png,"an emo portrait painting. short dark brown messy pixie haircut, large black eyes, antichrist eyes, slightly rounded face, pointed chin, thin lips, small nose, black tank top, black leather jacket, black knee - length skirt, black choker, by asher brown durand and claude monet, artstation, hd wallpaper "
diffusiondb-1k/image_44.png,🤳🦊 ♂ * nuzzles * 🖼 * blushez * 🎨 uwu owo 😼 [ powerful furr lore | incantus erminae | chi tong ] 
diffusiondb-1k/image_45.png,! dream portrait of a beautiful winged goddess with horns wearing an ornate black robe by tom bagshaw 
diffusiondb-1k/image_46.png,"a highly detailed digital illustration of a cute corgi puppy floating in outer space, hyperrealistic, stunning, beautiful, cinematic, sci - fi, greg rutkowski, artgerm, moebius, ruan jia, makoto shinkai, simon stalenhag "
diffusiondb-1k/image_47.png,"a renaissance portrait of will ferrell hugging john c. reilly, art in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, "
diffusiondb-1k/image_48.png,oil painting by george stubbs of a highland cow and a llama in a meadow at dawn. 
diffusiondb-1k/image_49.png,"extremely realistic digital illustration of a cute corgi puppy floating in outer space, soft focus, dreamy, greg rutkowski, artgerm, moebius, ruan jia, makoto shinkai, simon stalenhag, trending on artstation "
diffusiondb-1k/image_50.png,"a renaissance portrait of will ferrell hugging john c. reilly, art in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, "
diffusiondb-1k/image_51.png,"cute corgi puppy floating in outer space, hyperrealistic, very lifelike, stunning, extremely detailed digital illustration by greg rutkowski, artgerm, moebius, ruan jia, makoto shinkai, simon stalenhag, trending on artstation, masterpiece, award - winning, 8 k "
diffusiondb-1k/image_52.png,"an emo portrait painting. short dark brown messy pixie haircut, large black eyes, antichrist eyes, slightly rounded face, pointed chin, thin lips, small nose, black tank top, black leather jacket, black knee - length skirt, black choker, charcoal - on - black paint, by gino severini "
diffusiondb-1k/image_53.png,🤳🦊 ♂ * nuzzles * 🖼 * blushez * 🎨 uwu owo 😼 [ powerful furr lore | incantus erminae | chi tong ] 
