image_path,question,options,answer,img_id
datasets/mmmu/image_dev_Accounting_1.png,"Each of the following situations relates to a different company. <image 1> For company B, find the missing amounts.","['$63,020', '$58,410', '$71,320', '$77,490']",D,dev_Accounting_1
datasets/mmmu/image_dev_Accounting_2.png,"Here are facts for the Hudson Roofing Company for December. <image 1> Assuming no investments or withdrawals, what is the ending balance in the owners' capital account?","['$171,900', '$170,000', '$172,500', '$181,900']",A,dev_Accounting_2
datasets/mmmu/image_dev_Accounting_3.png,"For 2015, calculate the cash flow from assets(1) ________, cash flow to creditors(2) ________, and cash flow to stockholders(3) ________.<image 1>","['1): -$493.02 (2):-$2,384 (3):$1,890.98', '1): $1843.98 (2): -$2,384 (3):$493.02', '1): -$493.02 (2):  -$2,384 (3):-$1,890.98']",C,dev_Accounting_3
datasets/mmmu/image_dev_Accounting_4.png,Paper Submarine Manufacturing is investigating a lockbox system to reduce its collection time. It has determined the following:<image 1> The total collection time will be reduced by three days if the lockbox system is adopted.What is the net cash flow per check from adopting? ,"['$.02', '$7.79', '$8.65']",A,dev_Accounting_4
datasets/mmmu/image_dev_Accounting_5.png,Solve for the unknown number of years in each of the following:<image 1>,"['10.52 years; 14.73 years; 20.02 years; 24.73 years', '10.64 years; 14.81 years; 20.35 years; 25.01 years', '10.96 years; 15.22 years; 20.83 years; 25.96 years']",B,dev_Accounting_5
datasets/mmmu/image_dev_Agriculture_1.png,"<image 1> This isn't related to plant diseases, but it's crucial for the production of potatoes. Can you tell me if either of these two insects, or maybe even both, are harmful to potatoes?","['Neither are pest of potato', 'The one with black coloured antennae', 'The one with tan coloured antennae', 'Both are pests of potato']",B,dev_Agriculture_1
datasets/mmmu/image_dev_Agriculture_2.png,<image 1> What is the count of pathogens infecting this sunflower leaf?,"['One pathogen', 'Two pathogens', 'Three pathogens', 'There is no pathogen involved', ""I don't know and I don't want to guess""]",C,dev_Agriculture_2
datasets/mmmu/image_dev_Agriculture_3.png,"<image 1> What could be the reason behind the massive gum production on the trunks of these grapefruit trees in Cyprus, even though they appeared healthy when observed from a higher point on a hillside?","[""Don't know or not sure"", 'Physiological stress', 'Bacterial disease', 'Harvesting damage when cutting with knives', 'Fungal gummosis']",B,dev_Agriculture_3
datasets/mmmu/image_dev_Agriculture_4.png,<image 1> Which among the following assertions holds true?,"['Laboratory work with micro manipulators can mimic the transmission of viruses.', 'All plant feeding insects can transmit viruses.', 'All plant viruses can be transmitted by insects.', 'Most viruses have a specific relationship with their vectors.', ""I don't know and I don't want to guess""]",D,dev_Agriculture_4
datasets/mmmu/image_dev_Agriculture_5.png,<image 1> What among the listed issues would not be the cause for the petioles of this rhubarb splitting?,"['Physiological problems', 'Phytoplasma infection', ""I don't know and don't want to guess."", 'Animal damage', 'Bacteria']",E,dev_Agriculture_5
